node,community,researcher
100,0,Ana Teresa de Castro Martins
1007,0,Luciano Reis Coutinho
1009,0,Luciano Vieira de Araújo
1025,0,Luis Jorge Enrique Rivero Cabrejos
1063,0,Manoel Gomes de Mendonça Neto
1068,0,Marcel Parolin Jackowski
1073,0,Marcello Goulart Teixeira
1076,0,Marcelo Bezerra d'Amorim
1081,0,Marcelo Finger
1082,0,Marcelo Fornazin
1085,0,Marcelo Gomes de Queiroz
1089,0,Marcelo Medeiros Eler
1090,0,Marcelo Morandini
1097,0,Marcelo de Almeida Maia
11,0,Adolfo Almeida Duran
1110,0,Marco Antônio Pinheiro de Cristo
1112,0,Marco Aurélio Gerosa
1113,0,Marco Aurélio Graciotto Silva
1116,0,Marco Tulio de Oliveira Valente
1127,0,Marcos Kalinowski
1128,0,Marcos Lordello Chaim
1132,0,Marcos dos Santos
1134,0,Marcus Vinicius Soledade Poggi de Aragao
1137,0,Maria Augusta Silveira Netto Nunes
114,0,Andre Cavalcante Hora
1146,0,Maria Istela Cagnin
1168,0,Marislei Nishijima
1171,0,Mariza Andrade da Silva Bigonha
1175,0,Markus Endler
1191,0,Mauro Antonio Rincon
1195,0,Maurício Ronny de Almeida Souza
12,0,Adriana Cesário de Faria Alvim
1200,0,Melina Mongiovi
1202,0,Methanias Colaço Júnior
1216,0,Monalessa Perini Barcellos
1228,0,Márcio Eduardo Delamaro
1232,0,Márcio de Medeiros Ribeiro
1233,0,Márcio de Oliveira Barros
1234,0,Mário Antonio Meireles Teixeira
1244,0,Natasha Malveira Costa Valentim
125,0,Andreia Malucelli
1258,0,Noemi de La Rocque Rodriguez
1264,0,Olacir Rodrigues Castro Junior
1288,0,Paulo Afonso Parreira Júnior
1300,0,Paulo Henrique Monteiro Borba
1311,0,Paulo Roberto Miranda Meirelles
1317,0,Paulo Sérgio Lopes de Souza
1325,0,Pedro Luiz Pizzigatti Corrêa
1333,0,Plinio de Sa Leitao Junior
1348,0,Rafael Giusti
1353,0,Rafael Oliveira Vasconcelos
1356,0,Rafael Prikladnicki
1359,0,Rafael Serapilha Durelli
1369,0,Raimundo da Silva Barreto
1387,0,Reginaldo Ré
1398,0,Renata Pontin de Mattos Fortes
1405,0,Renato Balancieri
1416,0,Renato de Freitas Bulcão Neto
1443,0,Ricardo Terra Nunes Bueno Villela
145,0,André Luís Andrade Menolli
1455,0,Roberta de Souza Coelho
1457,0,Roberto Almeida Bittencourt
1460,0,Roberto Ierusalimschy
1466,0,Roberto Souto Maior de Barros
1479,0,Rodrigo Bonifacio de Almeida
1483,0,Rodrigo Clemente Thom de Souza
1491,0,Rodrigo Oliveira Spínola
1492,0,Rodrigo Pereira dos Santos
1503,0,Rogério Aparecido Gonçalves
1507,0,Rohit Gheyi
151,0,André Pimenta Freire
1528,0,Rosiane de Freitas Rodrigues
1538,0,Rudinei Goularte
1543,0,Sabrina de Figueiredo Souto
1544,0,Sabrina dos Santos Marczak
1549,0,Samyr Beliche Vale
1560,0,Sarita Mazzini Bruschi
1570,0,Sergio Castelo Branco Soares
1575,0,Sheila dos Santos Reinehr
1580,0,Silvana Bocanegra
1581,0,Silvana Rossetto
1583,0,Silvia Regina Vergilio
1586,0,Silvio Romero de Lemos Meira
1591,0,Simone Diniz Junqueira Barbosa
1594,0,Simone do Rocio Senger de Souza
1597,0,Solange Nice Alves de Souza
1605,0,Sérgio Colcher
1622,0,Tayana Uchôa Conte
1627,0,Thais Helena Chaves de Castro
1632,0,Thelma Elita Colanzi
1635,0,Thiago Alves Rocha
1649,0,Tiago Bonini Borchartt
1658,0,Tiago Silva da Silva
1666,0,Uira Kulesza
1671,0,Valdemar Vicente Graciano Neto
1677,0,Valter Vieira de Camargo
1681,0,Vander Ramos Alves
1689,0,Vaninha Vieira dos Santos
1692,0,Vicente Ferreira de Lucena Junior
1695,0,Victor Hugo Santiago Costa Pinto
1697,0,Victor Travassos Sarinho
1700,0,Vinicius Cardoso Garcia
1708,0,Vinícius Humberto Serapilha Durelli
1719,0,Vítor Estêvão Silva Souza
1721,0,Wagner Machado Nunan Zola
1724,0,Waldemar Celes Filho
1733,0,Wesley Klewerton Guêz Assunção
187,0,Ariane Machado Lima
188,0,Ariel Soares Teles
189,0,Arilo Claudio Dias Neto
201,0,Auri Marcelo Rizzo Vincenzi
202,0,Aurora Trinidad Ramirez Pozo
204,0,Avelino Francisco Zorzo
205,0,Awdren de Lima Fontão
207,0,Baldoino Fonseca dos Santos Neto
212,0,Breno Alexandro Ferreira de Miranda
213,0,Breno Bernard Nicolau de França
214,0,Bruna Diirr Gonçalves da Silva
217,0,Bruno Barbieri de Pontes Cafeo
22,0,Afonso Henrique Corrêa de Sales
221,0,Bruno Freitas Gadelha
240,0,Carina Frota Alves
249,0,Carlo Marcelo Revoredo da Silva
25,0,Ahmed Ali Abdalla Esmin
252,0,Carlos Alberto Rodrigues
268,0,Carlos José Pereira de Lucena
270,0,Carlos Maurício Seródio Figueiredo
277,0,Carlos de Salles Soares Neto
284,0,Cecília Mary Fischer Rubira
288,0,Celso Gonçalves Camilo Junior
292,0,Cesar Augusto Fonticielha De Rose
300,0,Christina von Flach Garcia Chavez
306,0,Clarisse Sieckenius de Souza
312,0,Claudia Maria Lima Werner
313,0,Claudia Pinto Pereira
324,0,Cleidson Ronald Botelho de Souza
331,0,Cláudio Nogueira Sant`Anna
336,0,Credine Silva de Menezes
35,0,Alberto Barbosa Raposo
350,0,Cássio Leonardo Rodrigues
359,0,Daltro José Nunes
367,0,Daniel Gregorio Alfaro Vigo
394,0,Davi Viana dos Santos
397,0,Davidson Cury
404,0,Denilson Alves Pereira
427,0,Diodomiro Baldomero Luque Carcasi
438,0,Débora Maria Barroso Paiva
450,0,Edmir Parada Vasques Prado
454,0,Edna Dias Canedo
456,0,Edson Alves de Oliveira Junior
472,0,Eduardo Figueiredo
474,0,Eduardo Freire Nakamura
475,0,Eduardo James Pereira Souto
479,0,Eduardo Luzeiro Feitosa
48,0,Alessandra Alaniz Macedo
483,0,Eduardo Santana de Almeida
49,0,Alessandro Fabricio Garcia
495,0,Elder José Reioli Cirilo
498,0,Eliane Martins
5,0,Adenilso da Silva Simão
502,0,Elisa Yumi Nakagawa
504,0,Ellen Francine Barbosa
533,0,Eulanda Miranda dos Santos
54,0,Alexandre Alvaro
544,0,Fabiano Cutigi Ferrari
549,0,Fabio Kon
554,0,Fabiola Guerra Nakamura
581,0,Fernando José Castor de Lima Filho
597,0,Flavio Soares Correa da Silva
601,0,Flávio Eduardo Aoki Horita
619,0,Francisco José da Silva e Silva
627,0,Frank José Affonso
632,0,Frederico Araujo Durão
635,0,Fábio Fagundes Silveira
644,0,Fátima de Lourdes dos Santos Nunes Marques
653,0,Genaina Nunes Rodrigues
670,0,Giancarlo Guizzardi
682,0,Gislaine Camila Lapasini Leal
689,0,Gleison dos Santos Souza
694,0,Guilherme Amaral Avelino
696,0,Guilherme Horta Travassos
707,0,Gustavo Henrique Lima Pinto
72,0,Alfredo Goldman vel Lejbman
721,0,Heitor Augustus Xavier Costa
726,0,Helio Côrtes Vieira Lopes
73,0,Aline Maria Malachini Miotto Amaral
734,0,Henrique Emanuel Mostaert Rebêlo
740,0,Horacio Antonio Braga Fernandes de Oliveira
752,0,Igor Fabio Steinmacher
755,0,Igor Scaliante Wiese
757,0,Ingrid Oliveira de Nunes
771,0,Ivan do Carmo Machado
773,0,Ivanilton Polato
793,0,Jean-Pierre Briot
8,0,Adilson Luiz Bonifácio
806,0,Joao Fernando Lima Alcântara
817,0,Jones Oliveira de Albuquerque
822,0,Jorge Luis Nicolas Audy
827,0,Jose Carlos Maldonado
839,0,José Amancio Macedo Santos
842,0,José Augusto Baranauskas
85,0,Amaury Alvarez Cruz
851,0,José Francisco de Magalhães Netto
857,0,José Reginaldo Hughes Carvalho
863,0,João Batista da Rocha Junior
865,0,João Carlos da Silva
874,0,João Paulo Andrade Almeida
881,0,João Porto de Albuquerque
885,0,Juan Gabriel Colonna
926,0,Kiev Santos da Gama
932,0,Larissa Rocha Soares Bastos
968,0,Leonardo Montecchi
974,0,Leopoldo Motta Teixeira
984,0,Lina Garcés
99,0,Ana Regina Cavalcanti da Rocha
992,0,Lucas Carvalho Cordeiro
997,0,Luciana Aparecida Martinez Zaina
1,1,Abilio Pereira de Lucena Filho
101,1,Anand Subramanian
