community,num_nodes,n_institutions,dominant_institution,dominant_inst_share,institution_entropy
0,217,48,UFAM,0.09216589861751152,3.549127587625022
2,151,34,UFMG,0.2980132450331126,2.8265163338860244
7,116,30,UFRGS,0.20689655172413793,2.861546423103026
1,185,30,UFF,0.23243243243243245,2.792212580725555
5,131,26,USP-SC,0.33587786259541985,2.420546566393359
4,145,25,UNICAMP,0.2206896551724138,2.849365885429858
3,145,21,UFU,0.18620689655172415,2.5998715758901385
6,131,21,UFPE,0.25190839694656486,2.543327869058089
10,74,17,UFRJ-COMP,0.13513513513513514,2.567325269551879
8,99,14,UFPE,0.23232323232323232,2.226557258774274
12,48,14,UFPA,0.2916666666666667,2.101972057729069
14,29,12,UFPE,0.3103448275862069,2.0722863360857553
11,67,11,UFPEL,0.34328358208955223,1.8174801199795716
13,36,9,FUFPI,0.3333333333333333,1.6853917447047129
9,82,9,UFC,0.5,1.4856552183051424
15,25,6,UNIVALI,0.44,1.387477062603779
16,21,5,UNISINOS,0.47619047619047616,1.2334026122685402
18,4,2,FUFPI,0.75,0.5623351446168083
17,8,1,UFES,1.0,-1.000088900581841e-12
19,3,1,UNESP-SJRP,1.0,-1.000088900581841e-12
20,2,1,UFLA,1.0,-1.000088900581841e-12
21,2,1,UFAC,1.0,-1.000088900581841e-12
22,2,1,UFPB-JP,1.0,-1.000088900581841e-12
23,2,1,UTFPR,1.0,-1.000088900581841e-12
