community,num_nodes,intra_weight,external_strength_w,n_partner_communities,external_entropy,external_share
0,217,5167,2190.0,18.0,6.7258150842545295,0.2976756830229713
1,185,3828,1062.0,18.0,6.083704925247373,0.21717791411042944
2,151,4900,1647.0,16.0,6.4191126889183625,0.2515656025660608
3,145,2603,1048.0,16.0,5.977052495160171,0.28704464530265683
4,145,2197,988.0,18.0,5.986656556489615,0.31020408163265306
5,131,1985,791.0,17.0,5.877312816350674,0.2849423631123919
6,131,3006,1225.0,17.0,6.032781996505692,0.2895296620184354
7,116,2362,1123.0,16.0,5.979585541170099,0.3222381635581062
8,99,1492,546.0,16.0,5.348595109399202,0.267909715407262
9,82,1763,618.0,15.0,5.532223801144057,0.25955480890382193
10,74,1873,763.0,17.0,5.622564453190504,0.289453717754173
11,67,3526,501.0,18.0,5.063627309061426,0.12441023094114725
12,48,733,297.0,16.0,4.9330176273522355,0.2883495145631068
13,36,1397,357.0,16.0,4.834155927096864,0.20353477765108324
14,29,946,351.0,15.0,4.829178295283844,0.27062451811873556
15,25,447,123.0,15.0,4.207746596284205,0.21578947368421053
16,21,1112,327.0,14.0,4.626526568661651,0.22724113968033358
17,8,152,23.0,4.0,2.3064366949558157,0.13142857142857142
18,4,33,1.0,1.0,-1.000088900581841e-12,0.029411764705882353
19,3,203,8.0,2.0,1.9061547465328494,0.037914691943127965
20,2,90,2.0,1.0,0.6931471805579453,0.021739130434782608
21,2,4,0.0,0.0,0.0,0.0
22,2,53,11.0,4.0,1.6726254461443206,0.171875
23,2,3,0.0,0.0,0.0,0.0
