institution,strength_w,betweenness,external_share
UFMG,5136,0.007119509525926636,0.41549844236760125
UFPEL,4571,0.0005827505827505828,0.15554583242178954
USP-SC,4528,0.02186178558556181,0.5309187279151943
UFPE,3964,0.014184992681496176,0.5201816347124117
UFF,3866,0.02858095190007181,0.36833936885669943
UFRGS,3775,0.024001606538703597,0.40344370860927153
UFC,3258,0.013129045989506908,0.22590546347452425
UFMA,2663,0.017942679226101686,0.24371010138941043
UNICAMP,2621,0.0013498894268125037,0.5307134681419305
UFPR,2443,0.004132904132904132,0.5096193205075726
UFJF,2220,0.022907374458717853,0.26216216216216215
UFPA,2194,0.0002964306440242269,0.46855059252506837
UFCG,2145,0.04948212117032536,0.3184149184149184
UNISINOS,2082,0.006547109673921884,0.2584053794428434
UFG,2021,0.008286400399728248,0.3508164275111331
FURG,1898,0.006280183168295055,0.24236037934668073
UFRJ-COMP,1881,0.02221550616221056,0.722488038277512
UFAL,1695,0.01183582653839272,0.631858407079646
PUC-RIO,1630,0.01729122151687391,0.6429447852760736
UNESP-SJRP,1617,0.04073433091801021,0.3778602350030921
UFAM,1609,0.021957712375019527,0.4692355500310752
UFU,1437,0.008257262754437406,0.34585942936673625
PUC-RS,1412,0.011949328537679214,0.3810198300283286
UFSCAR,1381,0.020345682880723172,0.7335264301230991
USP-COMP,1371,0.02996760158476151,0.6717724288840262
UNB,1341,0.012500294318476136,0.4899328859060403
UFRPE,1313,0.01709218539432443,0.6283320639756284
UPE,1193,0.012922298593883103,0.490360435875943
UNIFESP,1180,0.014390761401250906,0.6372881355932203
UFBA,1156,0.02961249463411577,0.610726643598616
UFRN,1145,0.04317302959541317,0.7048034934497817
UNIRIO,1120,0.006661343468483697,0.6857142857142857
UNIOESTE,1034,0.015548403543928557,0.32495164410058025
UDESC,1031,0.026378744280842185,0.22211445198836083
UFSJ,1031,0.023802401424562542,0.5712900096993211
FUFPI,1015,0.046605931319012354,0.35172413793103446
UFES,1008,0.01486196051525459,0.24206349206349206
UTFPR,994,0.046291289048409956,0.5110663983903421
CEFET,938,0.04120786739577562,0.326226012793177
UFMS,915,0.00987264419082601,0.571584699453552
UFRJ-INFO,909,0.004598414833939712,0.8657865786578658
UFLA,830,0.012762652776021764,0.4891566265060241
UFOP,811,0.016335412838909345,0.45499383477188654
UEM,792,0.03758803754156887,0.5681818181818182
PUC-PR,791,0.015562101244496323,0.34260429835651074
UFV,790,0.009586831195222805,0.6075949367088608
UFABC,772,0.04027539172345586,0.5077720207253886
UFPB-JP,746,0.04475711927946228,0.3806970509383378
FUFSE,732,0.029957600374622376,0.5355191256830601
USP-SINF,631,0.004881229881229881,0.7939778129952456
PUC-MG,613,0.01024236611393357,0.33115823817292006
IFCE,560,0.00299923011461473,0.425
UFSM,535,0.0022695265306456117,0.5551401869158878
UECE,511,0.033945372209486145,0.48336594911937375
UNIFEI,442,0.013643171410601259,0.5248868778280543
UNIFOR,431,0.024998533582449665,0.28074245939675174
UFSC,397,0.05458570487056707,0.8035264483627204
UEFS,344,0.0281302051173626,0.5988372093023255
UNIVALI,327,0.007727197692232657,0.19877675840978593
UNIFACCAMP,327,2.742355683532154e-05,0.7981651376146789
UEL,291,0.0020652174128109957,0.5395189003436426
UFERSA,285,0.002379674197856016,0.6771929824561403
UNIFACS,276,0.007817857485689654,0.7971014492753623
IME,263,0.016325397472084547,0.3688212927756654
UERN,235,0.0011441860392909342,0.5234042553191489
USP-RP,175,0.021695198124278746,0.46285714285714286
UFAC,104,0.009472176360288248,0.6730769230769231
