node,community,strength_w,strength_intra_w,strength_external_w,participation_P,z_intra,role,institution,name
0,8,68,1492,-1424,0.36072664359861584,0.0,peripheral,UFPE,Abel Guilhermino da Silva Filho
1,1,31,3828,-3797,0.0,0.0,peripheral,UFRJ-COMP,Abilio Pereira de Lucena Filho
2,16,42,1112,-1070,0.0,0.0,peripheral,UNIOESTE,Adair Santa Catarina
3,3,17,2603,-2586,0.588235294117647,0.0,peripheral,UEM,Ademir Aparecido Constantino
4,11,321,3526,-3205,0.25549053289467305,0.0,peripheral,UFPEL,Adenauer Correa Yamin
5,0,13,5167,-5154,0.544378698224852,0.0,peripheral,USP-SC,Adenilso da Silva Simão
6,8,52,1492,-1440,0.037721893491124314,0.0,peripheral,UFPE,Adenilton José da Silva
7,1,7,3828,-3821,0.40816326530612246,0.0,peripheral,UFPE,Adiel Teixeira de Almeida Filho
8,0,1,5167,-5166,0.0,0.0,peripheral,UEL,Adilson Luiz Bonifácio
9,3,27,2603,-2576,0.4115226337448561,0.0,peripheral,UNIFEI,Adler Diniz de Souza
10,10,14,1873,-1859,0.4999999999999999,0.0,peripheral,FUFSE,Admilson de Ribamar Lima Ribeiro
11,0,9,5167,-5158,0.19753086419753085,0.0,peripheral,UFBA,Adolfo Almeida Duran
12,0,10,5167,-5157,0.4800000000000001,0.0,peripheral,UNIRIO,Adriana Cesário de Faria Alvim
13,10,64,1873,-1809,0.1171875,0.0,peripheral,UFRJ-COMP,Adriana Santarosa Vivacqua
14,2,89,4900,-4811,0.35374321424062627,0.0,peripheral,UFMG,Adriano Alonso Veloso
16,13,35,1397,-1362,0.20897959183673476,0.0,peripheral,UNIFOR,Adriano Bessa Albuquerque
17,2,61,4900,-4839,0.15479709755442084,0.0,peripheral,UFMG,Adriano Cesar Machado Pereira
18,15,33,447,-414,0.34527089072543615,0.0,peripheral,UDESC,Adriano Fiorese
19,8,66,1492,-1426,0.6634527089072544,0.0,connector,UFPE,Adriano Lorena Inacio de Oliveira
20,3,15,2603,-2588,0.12444444444444436,0.0,peripheral,UNESP-SJRP,Adriano Mauro Cansian
21,11,106,3526,-3420,0.12584549661801347,0.0,peripheral,FURG,Adriano Velasque Werhli
22,0,24,5167,-5143,0.2777777777777777,0.0,peripheral,PUC-RS,Afonso Henrique Corrêa de Sales
23,5,31,1985,-1954,0.18106139438085334,0.0,peripheral,USP-SC,Afonso Paiva Neto
24,5,155,1985,-1830,0.21452653485952122,0.0,peripheral,USP-SC,Agma Juci Machado Traina
25,0,2,5167,-5165,0.0,0.0,peripheral,UFLA,Ahmed Ali Abdalla Esmin
26,9,40,1763,-1723,0.04875000000000007,0.0,peripheral,IFCE,Ajalmar Rêgo da Rocha Neto
28,5,71,1985,-1914,0.4741122793096607,0.0,peripheral,UFSCAR,Alan Demétrius Baria Valejo
29,4,8,2197,-2189,0.59375,0.0,peripheral,UFOP,Alan Kardek Rêgo Segundo
30,4,2,2197,-2195,0.0,0.0,peripheral,USP-SINF,Alan Mitchell Durham
31,6,90,3006,-2916,0.08617283950617283,0.0,peripheral,UFAL,Alan Pedro da Silva
32,4,13,2197,-2184,0.544378698224852,0.0,peripheral,UFOP,Alan Robert Resende de Freitas
33,3,17,2603,-2586,0.4152249134948096,0.0,peripheral,UEL,Alan Salvany Felinto
34,2,54,4900,-4846,0.6556927297668038,0.0,connector,UNB,Alba Cristina Magalhães Alves de Melo
35,0,23,5167,-5144,0.6616257088846881,0.0,connector,PUC-RIO,Alberto Barbosa Raposo
36,7,109,2362,-2253,0.1555424627556602,0.0,peripheral,UFRGS,Alberto Egon Schaeffer Filho
37,17,72,152,-80,0.2002314814814815,0.0,peripheral,UFES,Alberto Ferreira De Souza
38,2,105,4900,-4795,0.29913832199546475,0.0,peripheral,UFMG,Alberto Henrique Frade Laender
39,9,58,1763,-1705,0.09809750297265163,0.0,peripheral,UFC,Alberto Sampaio Lima
40,8,114,1492,-1378,0.2617728531855956,0.0,peripheral,PUC-PR,Alceu de Souza Britto Jr
41,2,42,4900,-4858,0.09070294784580502,0.0,peripheral,UFV,Alcione de Paiva Oliveira
42,7,31,2362,-2331,0.7242455775234131,0.0,connector,UFPA,Aldebaro Barreto da Rocha Klautau Júnior
43,10,46,1873,-1827,0.30151228733459357,0.0,peripheral,UFRPE,Aldo von Wangenheim
44,2,210,4900,-4690,0.16240362811791387,0.0,peripheral,UFPR,Aldri Luiz dos Santos
45,19,106,203,-97,0.0731577073691706,0.0,peripheral,UNESP-SJRP,Aleardo Manacero Junior
46,15,9,447,-438,0.0,0.0,peripheral,UNIVALI,Alejandro Rafael Garcia Ramirez
47,6,43,3006,-2963,0.21416982152514874,0.0,peripheral,UFSM,Alencar Machado
48,0,54,5167,-5113,0.5377229080932785,0.0,peripheral,USP-RP,Alessandra Alaniz Macedo
49,0,245,5167,-4922,0.23343606830487296,0.0,peripheral,PUC-RIO,Alessandro Fabricio Garcia
50,5,147,1985,-1838,0.3897450136517193,0.0,peripheral,UNB,Aletéia Patrícia Favacho de Araújo
51,2,333,4900,-4567,0.31288946604261925,0.0,peripheral,UFJF,Alex Borges Vieira
52,6,75,3006,-2931,0.4967111111111111,0.0,peripheral,UFPE,Alex Sandro Gomes
53,3,66,2603,-2537,0.5899908172635444,0.0,peripheral,UFRPE,Alex Sandro Roschildt Pinto
54,0,24,5167,-5143,0.1562500000000001,0.0,peripheral,UFSCAR,Alexandre Alvaro
55,2,4,4900,-4896,0.0,0.0,peripheral,UFSJ,Alexandre Bittencourt Pigozzo
56,6,35,3006,-2971,0.05551020408163265,0.0,peripheral,UFPE,Alexandre Cabral Mota
57,3,8,2603,-2595,0.53125,0.0,peripheral,UNIFEI,Alexandre Carlos Brandao Ramos
58,3,113,2603,-2490,0.25781188816665357,0.0,peripheral,USP-SC,Alexandre Cláudio Botazzo Delbem
59,7,25,2362,-2337,0.5087999999999999,0.0,peripheral,UFMA,Alexandre César Muniz de Oliveira
60,4,24,2197,-2173,0.0,0.0,peripheral,UFSCAR,Alexandre Luís Magalhães Levada
61,8,43,1492,-1449,0.3569497025419146,0.0,peripheral,UPE,Alexandre Magno Andrade Maciel
62,6,61,3006,-2945,0.22789572695511962,0.0,peripheral,UFPE,Alexandre Marcos Lins de Vasconcelos
63,1,76,3828,-3752,0.10145429362880898,0.0,peripheral,UFF,Alexandre Plastino de Carvalho
64,1,28,3828,-3800,0.25255102040816335,0.0,peripheral,UFMG,Alexandre Salles da Cunha
65,1,4,3828,-3824,0.375,0.0,peripheral,UFV,Alexandre Santos Brandão
66,5,7,1985,-1978,0.40816326530612246,0.0,peripheral,USP-RP,Alexandre Souto Martinez
67,4,91,2197,-2106,0.18306967757517212,0.0,peripheral,UNICAMP,Alexandre Xavier Falcão
68,4,15,2197,-2182,0.6311111111111111,0.0,connector,USP-SINF,Alexandre da Silva Freire
69,1,12,3828,-3816,0.48611111111111116,0.0,peripheral,UFRJ-COMP,Alexandre de Assis Bento Lima
70,4,43,2197,-2154,0.36235803136830724,0.0,peripheral,UNESP-SJRP,Alexandro José Baldassin
71,4,20,2197,-2177,0.09500000000000008,0.0,peripheral,PUC-MG,Alexei Manso Correa Machado
72,0,58,5167,-5109,0.6658739595719381,0.0,connector,USP-SINF,Alfredo Goldman vel Lejbman
73,0,52,5167,-5115,0.17677514792899407,0.0,peripheral,UEM,Aline Maria Malachini Miotto Amaral
74,10,15,1873,-1858,0.12444444444444436,0.0,peripheral,UFBA,Aline Maria Santos Andrade
75,1,104,3828,-3724,0.1813979289940829,0.0,peripheral,UFF,Aline Marins Paes Carvalho
76,4,2,2197,-2195,0.5,0.0,peripheral,UFRGS,Aline Villavicencio
77,1,46,3828,-3782,0.4716446124763706,0.0,peripheral,UFPB-JP,Alisson Vasconcelos de Brito
78,5,80,1985,-1905,0.07281249999999995,0.0,peripheral,USP-SC,Alneu de Andrade Lopes
79,8,75,1492,-1417,0.22044444444444444,0.0,peripheral,PUC-PR,Altair Olivo Santin
